,query acc.,query length,subject accs.,subject length,evalue,bit score,q. start,q. end,% query coverage per hsp,s. start,s. end,subject title,family
10,1.A.12.1.1-P35526,437,CDD:166019,213.0,9.76e-15,72.8,201,416,49.0,3.0,196.0,"PLN02378, PLN02378, glutathione S-transferase DHAR1.",1.A.12
11,1.A.12.1.1-P35526,437,CDD:198310,121.0,2.93e-12,63.2,295,423,30.0,6.0,114.0,"cd03201, GST_C_DHAR, C-terminal, alpha helical domain of Dehydroascorbate Reductase.  Glutathione S-transferase (GST) C-terminal domain family, Dehydroascorbate Reductase (DHAR) subfamily; composed of plant-specific DHARs, which are monomeric enzymes catalyzing the reduction of DHA into ascorbic acid (AsA) using glutathione as the reductant. DHAR allows plants to recycle oxidized AsA before it is lost. AsA serves as a cofactor of violaxanthin de-epoxidase in the xanthophyll cycle and as an antioxidant in the detoxification of reactive oxygen species. Because AsA is the major reductant in plants, DHAR serves to regulate their redox state. It has been suggested that a significant portion of DHAR activity is plastidic, acting to reduce the large amounts of ascorbate oxidized during hydrogen peroxide scavenging by ascorbate peroxidase. DHAR contains a conserved cysteine in its active site and in addition to its reductase activity, shows thiol transferase activity similar to glutaredoxins.",1.A.12
12,1.A.12.1.1-P35526,437,CDD:433184,68.0,3.52e-12,61.5,217,280,15.0,2.0,68.0,"pfam13409, GST_N_2, Glutathione S-transferase, N-terminal domain.  This family is closely related to pfam02798.",1.A.12
13,1.A.12.1.1-P35526,437,CDD:238319,71.0,2.19e-08,50.6,216,278,14.0,8.0,71.0,"cd00570, GST_N_family, Glutathione S-transferase (GST) family, N-terminal domain; a large, diverse group of cytosolic dimeric proteins involved in cellular detoxification by catalyzing the conjugation of  glutathione (GSH) with a wide range of endogenous and xenobiotic alkylating agents, including carcinogens, therapeutic drugs, environmental toxins and products of oxidative stress. In addition, GSTs also show GSH peroxidase activity and are involved in the synthesis of prostaglandins and leukotrienes. This family, also referred to as soluble GSTs, is the largest family of GSH transferases and is only distantly related to the mitochondrial GSTs (GSTK subfamily, a member of the DsbA family). Soluble GSTs bear no structural similarity to microsomal GSTs (MAPEG family) and display additional activities unique to their group, such as catalyzing thiolysis, reduction  and isomerization of certain compounds. The GST fold contains an N-terminal TRX-fold domain and a C-terminal alpha helical domain, with an active site located in a cleft between the two domains. Based on sequence similarity, different classes of GSTs have been identified, which display varying tissue distribution, substrate specificities and additional specific activities. In humans, GSTs display polymorphisms which may influence individual susceptibility to diseases such as cancer, arthritis, allergy and sclerosis. Some GST family members with non-GST functions include glutaredoxin 2, the CLIC subfamily of anion channels, prion protein Ure2p, crystallins, metaxin 2 and stringent starvation protein A.",1.A.12
14,1.A.12.1.1-P35526,437,CDD:239358,71.0,3.26e-05,41.6,217,278,14.0,9.0,65.0,"cd03060, GST_N_Omega_like, GST_N family, Omega-like subfamily; composed of uncharacterized proteins with similarity to class Omega GSTs. GSTs are cytosolic dimeric proteins involved in cellular detoxification by catalyzing the conjugation of glutathione (GSH) with a wide range of endogenous and xenobiotic alkylating agents, including carcinogens, therapeutic drugs, environmental toxins and products of oxidative stress. The GST fold contains an N-terminal TRX-fold domain and a C-terminal alpha helical domain, with an active site located in a cleft between the two domains. Class Omega GSTs show little or no GSH-conjugating activity towards standard GST substrates. Instead, they catalyze the GSH dependent reduction of protein disulfides, dehydroascorbate and monomethylarsonate, activities which are more characteristic of glutaredoxins. Like Omega enzymes, proteins in this subfamily contain a conserved cysteine equivalent to the first cysteine in the CXXC motif of glutaredoxins, which is a redox active residue capable of reducing GSH mixed disulfides in a monothiol mechanism.",1.A.12
15,1.A.12.1.1-P35526,437,CDD:433190,75.0,4.89e-05,41.4,217,280,15.0,7.0,70.0,"pfam13417, GST_N_3, Glutathione S-transferase, N-terminal domain.  ",1.A.12
16,1.A.12.1.1-P35526,437,CDD:198344,103.0,8.77e-05,41.6,311,405,22.0,30.0,101.0,"cd10424, GST_C_9, C-terminal, alpha helical domain of an unknown subfamily 9 of Glutathione S-transferases.  Glutathione S-transferase (GST) C-terminal domain family, unknown subfamily 9; composed of uncharacterized proteins with similarity to GSTs. GSTs are cytosolic dimeric proteins involved in cellular detoxification by catalyzing the conjugation of glutathione (GSH) with a wide range of endogenous and xenobiotic alkylating agents, including carcinogens, therapeutic drugs, environmental toxins, and products of oxidative stress. GSTs also show GSH peroxidase activity and are involved in the synthesis of prostaglandins and leukotrienes. The GST fold contains an N-terminal thioredoxin-fold domain and a C-terminal alpha helical domain, with an active site located in a cleft between the two domains. GSH binds to the N-terminal domain while the hydrophobic substrate occupies a pocket in the C-terminal domain.",1.A.12
17,1.A.12.1.1-P35526,437,CDD:237284,460.0,0.000188,43.4,16,176,37.0,311.0,457.0,"PRK13108, PRK13108, prolipoprotein diacylglyceryl transferase; Reviewed.",1.A.12
18,1.A.12.1.1-P35526,437,CDD:223698,211.0,0.000228,42.1,216,413,45.0,8.0,198.0,"COG0625, Gst, Glutathione S-transferase [Posttranslational modification, protein turnover, chaperones].",1.A.12
19,1.A.12.1.1-P35526,437,CDD:239357,73.0,0.000309,38.8,216,279,15.0,8.0,71.0,"cd03059, GST_N_SspA, GST_N family, Stringent starvation protein A (SspA) subfamily; SspA is a RNA polymerase (RNAP)-associated protein required for the lytic development of phage P1 and for stationary phase-induced acid tolerance of E. coli. It is implicated in survival during nutrient starvation. SspA adopts the GST fold with an N-terminal TRX-fold domain and a C-terminal alpha helical domain, but it does not bind glutathione (GSH) and lacks GST activity. SspA is highly conserved among gram-negative bacteria. Related proteins found in Neisseria (called RegF), Francisella and Vibrio regulate the expression of virulence factors necessary for pathogenesis.",1.A.12
20,1.A.12.1.1-P35526,437,CDD:198286,100.0,0.001,38.2,303,406,24.0,18.0,99.0,"cd00299, GST_C_family, C-terminal, alpha helical domain of the Glutathione S-transferase family.  Glutathione S-transferase (GST) family, C-terminal alpha helical domain; a large, diverse group of cytosolic dimeric proteins involved in cellular detoxification by catalyzing the conjugation of  glutathione (GSH) with a wide range of endogenous and xenobiotic alkylating agents, including carcinogens, therapeutic drugs, environmental toxins and products of oxidative stress. In addition, GSTs also show GSH peroxidase activity and are involved in the synthesis of prostaglandins and leukotrienes. This family, also referred to as soluble GSTs, is the largest family of GSH transferases and is only distantly related to the mitochondrial GSTs (GSTK). Soluble GSTs bear no structural similarity to microsomal GSTs (MAPEG family) and display additional activities unique to their group, such as catalyzing thiolysis, reduction  and isomerization of certain compounds. The GST fold contains an N-terminal thioredoxin-fold domain and a C-terminal alpha helical domain, with an active site located in a cleft between the two domains. GSH binds to the N-terminal domain while the hydrophobic substrate occupies a pocket in the C-terminal domain. Based on sequence similarity, different classes of GSTs have been identified, which display varying tissue distribution, substrate specificities and additional specific activities. In humans, GSTs display polymorphisms which may influence individual susceptibility to diseases such as cancer, arthritis, allergy and sclerosis. Some GST family members with non-GST functions include glutaredoxin 2, the CLIC subfamily of anion channels, prion protein Ure2p, crystallins, metaxins, stringent starvation protein A, and aminoacyl-tRNA synthetases.",1.A.12
21,1.A.12.1.2-O00299,241,CDD:129941,236.0,3.19e-162,448.0,6,241,98.0,1.0,236.0,"TIGR00862, Chloride_intracellular_channel_protein_1, intracellular chloride channel protein.  The Organellar Chloride Channel (O-ClC) Family (TC 1.A.12) Proteins of the O-ClC family are voltage-sensitive chloride channels found in intracellular membranes but not the plasma membranes of animal cells. They are found in human nuclear membranes, and the bovine protein targets to the microsomes, but not the plasma membrane, when expressed in Xenopus laevis oocytes. These proteins are thought to function in the regulation of the membrane potential and in transepithelial ion absorption and secretion in the kidney. [Transport and binding proteins, Anions].",1.A.12
22,1.A.12.1.2-O00299,241,CDD:198333,139.0,5.91e-102,291.0,100,238,58.0,1.0,139.0,"cd10300, GST_C_CLIC1, C-terminal, alpha helical domain of Chloride Intracellular Channel 1.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 1 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Soluble CLIC1 is monomeric and adopts a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. Upon oxidation, the N-terminal domain of CLIC1 undergoes a structural change to form a non-covalent dimer stabilized by the formation of an intramolecular disulfide bond between two cysteines that are far apart in the reduced form. The CLIC1 dimer bears no similarity to GST dimers. The redox-controlled structural rearrangement exposes a large hydrophobic surface, which is masked by dimerization in vitro. In vivo, this surface may represent the docking interface of CLIC1 in its membrane-bound state. The two cysteines in CLIC1 that form the disulfide bond in oxidizing conditions are essential for dimerization and chloride channel activity. CLIC1 is widely expressed in many tissues and its subcellular localization is dependent on cell type and cell cycle phase. It acts as a sensor of cell oxidation and appears to have a role in diseases that involve oxidative stress including tumorigenic and neurodegenerative diseases.",1.A.12
23,1.A.12.1.2-O00299,241,CDD:198329,141.0,8.7e-81,238.0,100,240,59.0,1.0,141.0,"cd10296, GST_C_CLIC4, C-terminal, alpha helical domain of Chloride Intracellular Channel 4.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 4 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Structures of soluble CLICs reveal that they adopt a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. CLIC4, also known as p64H1, is expressed ubiquitously and its localization varies depending on the nature of the cells and tissues, from the plasma membrane to subcellular compartments including the nucleus, mitochondria, ER, and the trans-Golgi network, among others. In response to cellular stress such as DNA damage and senescence, cytoplasmic CLIC4 translocates to the nucleus, where it acts on the TGF-beta pathway. Studies on knockout mice suggest that CLIC4 also plays an important role in angiogenesis, specifically in network formation, capillary sprouting, and lumen formation. CLIC4 has been found to induce apoptosis in several cell types and to retard the growth of grafted tumors in vivo.",1.A.12
24,1.A.12.1.2-O00299,241,CDD:198330,141.0,4.63e-75,224.0,100,240,59.0,1.0,141.0,"cd10297, GST_C_CLIC5, C-terminal, alpha helical domain of Chloride Intracellular Channel 5.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 5 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Structures of soluble CLICs reveal that they adopt a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. CLIC5 exists in two alternatively-spliced isoforms, CLIC5A or CLIC5B (also called p64). It is expressed at high levels in hair cell stereocilia and is associated with the actin cytoskeleton and ezrin. A recessive mutation in the CLIC5 gene in mice led to the lack of coordination and deafness, due to a defect in the basal region of the hair bundle causing stereocilia to degrade. CLIC5 is therefore essential for normal inner ear function. CLIC5 is also highly expressed in podocytes where it is colocalized with the ezrin/radixin/moesin (ERM) complex. It is essential for foot process integrity, and for podocyte morphology and function.",1.A.12
25,1.A.12.1.2-O00299,241,CDD:198334,140.0,1.4000000000000002e-72,217.0,100,238,58.0,1.0,139.0,"cd10301, GST_C_CLIC6, C-terminal, alpha helical domain of Chloride Intracellular Channel 6.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 6 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Structures of soluble CLICs reveal that they adopt a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. CLIC6 is expressed predominantly in the stomach, pituitary, and brain. It interacts with D2-like dopamine receptors directly and through scaffolding proteins. CLIC6 may be involved in the regulation of secretion, possibly through chloride ion transport regulation.",1.A.12
26,1.A.12.1.2-O00299,241,CDD:198331,138.0,2.84e-63,193.0,100,238,58.0,1.0,138.0,"cd10298, GST_C_CLIC2, C-terminal, alpha helical domain of Chloride Intracellular Channel 2.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 2 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Structures of soluble CLICs reveal that they adopt a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. CLIC2 contains an intramolecular disulfide bond and exists as a monomer regardless of redox conditions, in contrast to CLIC1 which forms a dimer under oxidizing conditions. It is expressed in most tissues except the brain, and is highly expressed in the lung, spleen, and in cardiac and skeletal muscles. CLIC2 interacts with ryanodine receptors (cardiac RyR2 and skeletal RyR1) and modulates their activity, suggesting that CLIC2 may function in the regulation of calcium release and signaling in cardiac and skeletal muscles.",1.A.12
27,1.A.12.1.2-O00299,241,CDD:198307,119.0,5.52e-63,192.0,100,234,56.0,1.0,119.0,"cd03198, GST_C_CLIC, C-terminal, alpha helical domain of Chloride Intracellular Channels.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) subfamily; composed of CLICs (CLIC1-6 in vertebrates), p64, parchorin, and similar proteins. They are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. Biochemical studies of the Caenorhabditis elegans homolog, EXC-4, show that the membrane localization domain is present in the N-terminal part of the protein. CLICs display structural plasticity, with CLIC1 adopting two soluble conformations. The structure of soluble human CLIC1 reveals that it is monomeric and adopts a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. Upon oxidation, the N-terminal domain of CLIC1 undergoes a structural change to form a non-covalent dimer stabilized by the formation of an intramolecular disulfide bond between two cysteines that are far apart in the reduced form. The CLIC1 dimer bears no similarity to GST dimers. The redox-controlled structural rearrangement exposes a large hydrophobic surface, which is masked by dimerization in vitro. In vivo, this surface may represent the docking interface of CLIC1 in its membrane-bound state. The two cysteines in CLIC1 that form the disulfide bond in oxidizing conditions are essential for dimerization and chloride channel activity, however, in other subfamily members, the second cysteine is not conserved.",1.A.12
28,1.A.12.1.2-O00299,241,CDD:198332,133.0,4.0199999999999994e-61,188.0,101,233,55.0,2.0,132.0,"cd10299, GST_C_CLIC3, C-terminal, alpha helical domain of Chloride Intracellular Channel 3.  Glutathione S-transferase (GST) C-terminal domain family, Chloride Intracellular Channel (CLIC) 3 subfamily; CLICs are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division, and apoptosis. They can exist in both water-soluble and membrane-bound states and are found in various vesicles and membranes, and they may play roles in the maintenance of these intracellular membranes. The membrane localization domain is present in the N-terminal part of the protein. Structures of soluble CLICs reveal that they adopt a fold similar to GSTs, containing an N-terminal domain with a thioredoxin fold and a C-terminal alpha helical domain. CLIC3 is highly expressed in placental tissues, and may play a role in fetal development.",1.A.12
29,1.A.12.1.2-O00299,241,CDD:239359,91.0,8.93e-55,170.0,3,93,38.0,1.0,91.0,"cd03061, GST_N_CLIC, GST_N family, Chloride Intracellular Channel (CLIC) subfamily; composed of CLIC1-5, p64, parchorin and similar proteins. They are auto-inserting, self-assembling intracellular anion channels involved in a wide variety of functions including regulated secretion, cell division and apoptosis. They can exist in both water-soluble and membrane-bound states, and are found in various vesicles and membranes. Biochemical studies of the C. elegans homolog, EXC-4, show that the membrane localization domain is present in the N-terminal part of the protein. The structure of soluble human CLIC1 reveals that it is monomeric and it adopts a fold similar to GSTs, containing an N-terminal domain with a TRX fold and a C-terminal alpha helical domain. Upon oxidation, the N-terminal domain of CLIC1 undergoes a structural change to form a non-covalent dimer stabilized by the formation of an intramolecular disulfide bond between two cysteines that are far apart in the reduced form. The CLIC1 dimer bears no similarity to GST dimers. The redox-controlled structural rearrangement exposes a large hydrophobic surface, which is masked by dimerization in vitro. In vivo, this surface may represent the docking interface of CLIC1 in its membrane-bound state. The two cysteines in CLIC1 that form the disulfide bond in oxidizing conditions are essential for dimerization and chloride channel activity, however, in other subfamily members, the second cysteine is not conserved.",1.A.12
30,1.A.12.1.2-O00299,241,CDD:166458,265.0,3.43e-26,102.0,20,229,87.0,69.0,255.0,"PLN02817, PLN02817, glutathione dehydrogenase (ascorbate).",1.A.12
31,1.A.12.1.2-O00299,241,CDD:166019,213.0,7.62e-22,89.8,8,229,92.0,3.0,203.0,"PLN02378, PLN02378, glutathione S-transferase DHAR1.",1.A.12
