Accession,Length,Family,Subfamily,Domains,Seperators
W4TF23,238,1.B.81,1.B.81.1,"[('CDD:431429', 26, 210, 114.0)]",[]
L7W843,220,1.B.81,1.B.81.1,"[('CDD:431429', 31, 206, 70.1)]",[]
M7XIZ6,246,1.B.81,1.B.81.1,"[('CDD:431429', 27, 222, 59.7)]",[]
F2IHT4,219,1.B.81,1.B.81.1,"[('CDD:431429', 24, 206, 82.0)]",[]
WP_020562207,241,1.B.81,1.B.81.1,"[('CDD:431429', 36, 228, 181.0)]",[]
W0A8H9,234,1.B.81,1.B.81.1,"[('CDD:431429', 32, 211, 127.0)]",[]
F8GDI1,250,1.B.81,1.B.81.1,"[('CDD:431429', 31, 234, 181.0)]",[]
F0S4R6,230,1.B.81,1.B.81.1,"[('CDD:431429', 29, 214, 161.0)]",[]
I5BGK7,221,1.B.81,1.B.81.1,"[('CDD:431429', 32, 207, 116.0)]",[]
B1ZI59,228,1.B.81,1.B.81.1,"[('CDD:431429', 30, 212, 137.0)]",[]
G8R550,253,1.B.81,1.B.81.1,"[('CDD:431429', 35, 226, 66.6)]",[]
E6XE71,244,1.B.81,1.B.81.1,"[('CDD:431429', 33, 224, 96.7)]",[]
F8EGY7,254,1.B.81,1.B.81.1,"[('CDD:431429', 29, 219, 74.3)]",[]
F4KUA1,244,1.B.81,1.B.81.1,"[('CDD:431429', 29, 221, 173.0)]",[]
W0BCC3,222,1.B.81,1.B.81.1,"[('CDD:431429', 27, 208, 117.0)]",[]
KER09053,223,1.B.81,1.B.81.2,"[('CDD:431429', 31, 208, 63.6)]",[]
A4S0M9,495,1.B.82,1.B.82.1,"[('CDD:432661', 82, 414, 61.8)]","[('BEGIN to CDD:432661', 1, 81), ('CDD:432661 to END', 415, 495)]"
A5C9I8,701,1.B.82,1.B.82.1,"[('CDD:238827', 343, 371, 43.4)]","[('BEGIN to CDD:238827', 1, 342), ('CDD:238827 to END', 372, 701)]"
E1S7Z6,355,1.B.84,1.B.84.1,"[('CDD:225385', 1, 355, 428.0), ('CDD:426678', 69, 353, 181.0), ('CDD:238302', 72, 348, 246.0), ('CDD:182708', 104, 354, 104.0)]",[]
A5FB13,273,1.B.84,1.B.84.1,"[('CDD:225385', 32, 267, 109.0), ('CDD:426678', 39, 265, 150.0), ('CDD:238302', 41, 260, 137.0), ('CDD:182708', 64, 266, 94.1)]",[]
S5ITU6,252,1.B.84,1.B.84.1,"[('CDD:225385', 16, 252, 166.0), ('CDD:238302', 23, 244, 231.0), ('CDD:426678', 23, 249, 214.0), ('CDD:182708', 26, 252, 198.0)]",[]
T0HBK1,406,1.B.84,1.B.84.1,"[('CDD:238302', 164, 399, 177.0), ('CDD:225385', 167, 402, 137.0), ('CDD:426678', 173, 402, 151.0), ('CDD:182708', 211, 402, 117.0)]","[('BEGIN to CDD:238302', 1, 163)]"
F0Q7S3,417,1.B.84,1.B.84.1,"[('CDD:426678', 146, 414, 378.0), ('CDD:238302', 173, 409, 253.0), ('CDD:225385', 189, 416, 212.0), ('CDD:182708', 193, 416, 157.0)]","[('BEGIN to CDD:426678', 1, 145)]"
B1ZWT9,407,1.B.84,1.B.84.1,"[('CDD:426678', 169, 405, 161.0), ('CDD:238302', 176, 400, 184.0), ('CDD:225385', 191, 405, 131.0), ('CDD:182708', 192, 405, 103.0)]","[('BEGIN to CDD:238302', 1, 168)]"
OGR70538,316,1.B.84,1.B.84.1,"[('CDD:238302', 61, 307, 117.0), ('CDD:426678', 61, 314, 114.0), ('CDD:225385', 66, 316, 105.0), ('CDD:182708', 80, 303, 67.1)]","[('BEGIN to CDD:238302', 1, 60)]"
Q9HZE5,1193,1.B.85,1.B.85.1,"[('CDD:274350', 52, 748, 55.5), ('CDD:183140', 143, 621, 44.7), ('CDD:433199', 447, 714, 277.0)]","[('BEGIN to CDD:274350', 1, 51), ('CDD:274350 to END', 749, 1193)]"
M4UGJ8,1332,1.B.85,1.B.85.1,"[('CDD:433199', 526, 807, 304.0)]","[('BEGIN to CDD:433199', 1, 525), ('CDD:433199 to END', 808, 1332)]"
Q2Y889,900,1.B.85,1.B.85.1,"[('CDD:274350', 271, 568, 44.7), ('CDD:433199', 452, 732, 106.0), ('CDD:225605', 458, 637, 42.8)]","[('BEGIN to CDD:274350', 1, 270), ('CDD:433199 to END', 733, 900)]"
S2XLX4,1278,1.B.85,1.B.85.1,"[('CDD:274350', 344, 758, 52.4), ('CDD:433199', 508, 789, 235.0)]","[('BEGIN to CDD:274350', 1, 343), ('CDD:433199 to END', 790, 1278)]"
WP_094626014,1025,1.B.85,1.B.85.1,"[('CDD:274350', 53, 675, 60.5), ('CDD:276809', 386, 476, 44.2), ('CDD:433199', 454, 686, 64.3)]","[('BEGIN to CDD:274350', 1, 52), ('CDD:433199 to END', 687, 1025)]"
Q8RLV4,466,1.B.92,1.B.92.1,"[('CDD:276809', 55, 139, 38.8), ('CDD:398328', 166, 466, 308.0)]","[('BEGIN to CDD:276809', 1, 54)]"
Q5F674,489,1.B.92,1.B.92.1,"[('CDD:274350', 82, 180, 42.8), ('CDD:276809', 110, 178, 40.7), ('CDD:433202', 123, 183, 39.2), ('CDD:276808', 124, 198, 40.2), ('CDD:434038', 132, 183, 39.1), ('CDD:398328', 205, 489, 370.0)]","[('BEGIN to CDD:274350', 1, 81)]"
E2PBK0,464,1.B.92,1.B.92.1,"[('CDD:398328', 176, 464, 167.0), ('CDD:431627', 310, 460, 47.4)]","[('BEGIN to CDD:398328', 1, 175)]"
E8UCW3,495,1.B.92,1.B.92.1,"[('CDD:398328', 197, 495, 82.0)]","[('BEGIN to CDD:398328', 1, 196)]"
M4RBP1,415,1.B.92,1.B.92.1,"[('CDD:398328', 125, 415, 258.0)]","[('BEGIN to CDD:398328', 1, 124)]"
WP_026375221,442,1.B.92,1.B.92.1,"[('CDD:276809', 50, 121, 44.6), ('CDD:434038', 78, 137, 39.9), ('CDD:398328', 211, 436, 41.6)]","[('CDD:434038 to CDD:398328', 138, 210)]"
CBA75730,456,1.B.92,1.B.92.1,"[('CDD:398328', 169, 456, 82.4)]","[('BEGIN to CDD:398328', 1, 168)]"
WP_132308094,436,1.B.92,1.B.92.1,"[('CDD:276809', 41, 125, 38.4), ('CDD:398328', 153, 436, 91.3)]",[]
WP_101656401,384,1.B.92,1.B.92.2,"[('CDD:398328', 190, 384, 55.8)]","[('BEGIN to CDD:398328', 1, 189)]"
Q47534,257,1.B.95,1.B.95.1,"[('CDD:275183', 22, 257, 162.0), ('CDD:437245', 22, 201, 109.0)]",[]
WP_133936143,261,1.B.95,1.B.95.1,"[('CDD:275183', 25, 261, 159.0), ('CDD:437245', 25, 201, 85.3)]",[]
WP_052632100,260,1.B.95,1.B.95.1,"[('CDD:275183', 24, 260, 106.0), ('CDD:437245', 24, 204, 113.0)]",[]
D3DFY2,258,1.B.95,1.B.95.2,"[('CDD:437245', 21, 201, 99.2), ('CDD:275183', 22, 258, 176.0)]",[]
A1VIY3,276,1.B.95,1.B.95.2,"[('CDD:437245', 44, 221, 127.0), ('CDD:275183', 45, 276, 200.0)]",[]
Q63IQ6,418,1.B.95,1.B.95.2,"[('CDD:437245', 186, 363, 131.0), ('CDD:275183', 187, 418, 192.0)]","[('BEGIN to CDD:275183', 1, 185)]"
WP_092824292,266,1.B.95,1.B.95.3,"[('CDD:437245', 39, 211, 97.3), ('CDD:275183', 40, 266, 177.0)]",[]
WP_096695844,258,1.B.95,1.B.95.3,"[('CDD:275183', 34, 258, 123.0), ('CDD:437245', 34, 202, 62.6)]",[]
WP_147298586,375,1.B.95,1.B.95.3,"[('CDD:225605', 5, 108, 40.5), ('CDD:223533', 6, 112, 52.2), ('CDD:225660', 6, 98, 40.8), ('CDD:274350', 6, 111, 47.8), ('CDD:183140', 7, 107, 46.6), ('CDD:276808', 8, 77, 44.8), ('CDD:276809', 12, 111, 63.9), ('CDD:433202', 12, 109, 40.8), ('CDD:227122', 13, 111, 43.5), ('CDD:227044', 14, 110, 41.4), ('CDD:236644', 14, 107, 47.4), ('CDD:434038', 22, 111, 44.1), ('CDD:226687', 24, 107, 44.3), ('CDD:437245', 150, 320, 94.6), ('CDD:275183', 151, 375, 140.0)]",[]
WP_093392329,375,1.B.95,1.B.95.3,"[('CDD:276808', 19, 96, 44.4), ('CDD:430959', 19, 76, 43.3), ('CDD:274350', 21, 100, 42.0), ('CDD:434038', 30, 93, 42.2), ('CDD:437245', 149, 317, 98.8), ('CDD:275183', 151, 375, 148.0)]",[]
WP_104228733,267,1.B.95,1.B.95.3,"[('CDD:275183', 40, 267, 103.0), ('CDD:437245', 40, 212, 65.3)]",[]
NBO10119,267,1.B.95,1.B.95.3,"[('CDD:275183', 45, 267, 59.3)]",[]
CDZ80083,233,1.B.95,1.B.95.4,"[('CDD:435813', 78, 213, 41.7), ('CDD:224978', 88, 217, 40.1), ('CDD:214872', 145, 210, 41.4)]","[('BEGIN to CDD:435813', 1, 77)]"
WP_068467660,226,1.B.95,1.B.95.4,"[('CDD:435813', 74, 202, 58.3), ('CDD:214872', 80, 211, 44.5), ('CDD:427510', 80, 201, 42.0), ('CDD:433263', 84, 226, 43.5)]","[('BEGIN to CDD:435813', 1, 73)]"
WP_113997553,245,1.B.95,1.B.95.4,"[('CDD:275061', 108, 245, 43.5)]","[('BEGIN to CDD:275061', 1, 107)]"
TET05321,409,1.B.95,1.B.95.5,"[('CDD:223533', 28, 213, 45.6), ('CDD:274350', 28, 182, 45.5), ('CDD:274513', 30, 153, 42.2), ('CDD:225504', 32, 168, 41.6), ('CDD:225660', 36, 164, 50.0), ('CDD:276808', 37, 169, 63.7), ('CDD:227122', 38, 134, 43.2), ('CDD:276809', 38, 161, 68.5), ('CDD:433202', 39, 137, 38.5), ('CDD:236983', 42, 132, 51.7), ('CDD:436107', 42, 169, 44.2), ('CDD:434038', 48, 168, 43.3), ('CDD:226687', 53, 178, 45.8), ('CDD:275183', 183, 409, 72.7), ('CDD:437245', 204, 315, 42.6)]",[]
WP_146917420,409,1.B.95,1.B.95.5,"[('CDD:274350', 19, 178, 44.3), ('CDD:276809', 26, 122, 43.8), ('CDD:437245', 179, 351, 205.0), ('CDD:275183', 180, 409, 196.0)]",[]
WP_105313043,400,1.B.95,1.B.95.5,"[('CDD:274350', 27, 167, 44.7), ('CDD:100115', 28, 120, 44.2), ('CDD:276808', 29, 120, 41.7), ('CDD:276809', 33, 115, 43.4), ('CDD:434038', 33, 120, 41.0), ('CDD:434039', 39, 88, 38.6), ('CDD:275183', 172, 384, 149.0), ('CDD:437245', 174, 339, 184.0)]",[]
P77335,303,1.C.10,1.C.10.1,"[('CDD:183107', 1, 303, 524.0), ('CDD:399246', 4, 293, 411.0), ('CDD:439354', 14, 292, 300.0)]",[]
T0PS78,322,1.C.10,1.C.10.1,"[('CDD:439354', 2, 317, 197.0), ('CDD:183107', 26, 317, 61.2), ('CDD:399246', 26, 317, 71.4)]",[]
T0RLN6,316,1.C.10,1.C.10.2,"[('CDD:439354', 49, 310, 70.8), ('CDD:399246', 50, 132, 51.4)]",[]
OQR89906,363,1.C.10,1.C.10.2,"[('CDD:399246', 113, 250, 48.3), ('CDD:439354', 113, 242, 57.3)]","[('BEGIN to CDD:439354', 1, 112), ('CDD:439354 to END', 251, 363)]"
K7JEL9,433,1.C.10,1.C.10.3,"[('CDD:399246', 25, 340, 513.0), ('CDD:439354', 33, 339, 282.0)]","[('CDD:399246 to END', 341, 433)]"
B3MQ48,354,1.C.10,1.C.10.3,"[('CDD:399246', 1, 299, 230.0), ('CDD:439354', 1, 298, 250.0)]","[('CDD:439354 to END', 300, 354)]"
B3IW71,189,1.C.100,1.C.100.1,"[('CDD:281357', 25, 189, 331.0)]",[]
Q8UMQ1,101,1.C.101,1.C.101.1,"[('CDD:306921', 2, 63, 78.8)]",[]
NP_042687,97,1.C.101,1.C.101.1,"[('CDD:306921', 40, 78, 35.2)]",[]
AZY88389,74,1.C.101,1.C.101.1,"[('CDD:306921', 12, 38, 39.9)]",[]
C6SS71,76,1.C.102,1.C.102.1,"[('CDD:402184', 6, 66, 36.6)]",[]
Q03689,289,1.C.104,1.C.104.1,"[('CDD:433980', 7, 180, 151.0), ('CDD:402935', 222, 282, 98.9)]",[]
L2GCS0,170,1.C.104,1.C.104.1,"[('CDD:433980', 6, 157, 61.5)]",[]
XP_007676645,277,1.C.104,1.C.104.1,"[('CDD:433980', 7, 177, 74.6)]","[('CDD:433980 to END', 178, 277)]"
OKO90663,298,1.C.104,1.C.104.1,"[('CDD:433980', 8, 208, 94.6)]","[('CDD:433980 to END', 209, 298)]"
PMD25525,729,1.C.104,1.C.104.1,"[('CDD:433980', 10, 102, 69.6)]","[('CDD:433980 to END', 103, 729)]"
POR31694,289,1.C.104,1.C.104.1,"[('CDD:433980', 7, 197, 177.0), ('CDD:402935', 222, 282, 96.2)]",[]
XP_016642337,1134,1.C.104,1.C.104.1,"[('CDD:433980', 8, 215, 152.0), ('CDD:273380', 591, 680, 62.7), ('CDD:223533', 592, 709, 43.7), ('CDD:215568', 598, 788, 77.9), ('CDD:276809', 598, 709, 88.9), ('CDD:274350', 609, 718, 45.5), ('CDD:227343', 641, 701, 42.8)]","[('CDD:433980 to CDD:276809', 216, 590), ('CDD:215568 to END', 789, 1134)]"
KIM99385,534,1.C.104,1.C.104.2,"[('CDD:433980', 6, 164, 48.0)]","[('CDD:433980 to END', 165, 534)]"
EXM11247,559,1.C.104,1.C.104.2,"[('CDD:433980', 7, 215, 132.0), ('CDD:270622', 354, 490, 46.1)]","[('CDD:433980 to CDD:270622', 216, 353), ('CDD:270622 to END', 491, 559)]"
ELA24095,206,1.C.104,1.C.104.2,"[('CDD:433980', 6, 187, 93.8)]",[]
